Matter,NonPatent,PublicationNumber,PublicationDate,Patentee,Description,Notes,CiteDate,CitedBy,OriginalURL,TranslationURL
2920951-441000,,US20220142984A1,,,,,,,,
2920951-441000,,US20220143005,,,,,,,,
2920951-441000,,US20220153833,,,,,,,,
2920951-441000,,US20220202938,,,,,,,,
2920951-441000,,US20220226393A1,,,,,,,,
2920951-441000,,US20220241368,,,,,,,,
2920951-441000,,US20220323472A1,,,,,,,,
2920951-441000,,US20220387391A1,,,,,,,,
2920951-441000,,US20220401357A1,,,,,,,,
2920951-441000,,US2022046921A1,,,,,,,,
2920951-441000,,US2022125924A1,,,,,,,,
2920951-441000,,US2022205878A1,,,,,,,,
2920951-441000,,US2022259176A1,,,,,,,,
2920951-441000,,US2022338475A1,,,,,,,,
2920951-441000,,US20230000082,,,,,,,,
2920951-441000,,US20230040279,,,,,,,,
2920951-441000,,US20230095926,,,,,,,,
2920951-441000,,US20230146944A1,,,,,,,,
2920951-441000,,US20230157288,,,,,,,,
2920951-441000,,US20230000774A1,,,,,,,,
2920951-441000,,US20230017661,,,,,,,,
2920951-441000,,US20230087923,,,,,,,,
2920951-441000,,US20230190894,,,,,,,,
2920951-441000,,US20230233530,,,,,,,,
2920951-441000,,US10266524,,,,,,,,
2920951-441000,,US10287281,,,,,,,,
2920951-441000,,US10710991,,,,,,,,
2920951-441000,,US10869477,,,,,,,,
2920951-441000,,US8541019,,,,,,,,
2920951-441000,,US8628794,,,,,,,,
2920951-441000,,US8962681,,,,,,,,
2920951-441000,,US9204648,,,,,,,,
2920951-441000,,US9307766,,,,,,,,
2920951-441000,,US9339505,,,,,,,,
2920951-441000,,US9545106,,,,,,,,
2920951-441000,,US9682949,,,,,,,,
2920951-441000,,US9776994,,,,,,,,
2920951-441000,,US9913471,,,,,,,,
2920951-441000,,US10028949,,,,,,,,
2920951-441000,,US10064897,,,,,,,,
2920951-441000,,US10143701,,,,,,,,
2920951-441000,,US10155730,,,,,,,,
2920951-441000,,US10160758,,,,,,,,
2920951-441000,,US10188668,,,,,,,,
2920951-441000,,US10206400,,,,,,,,
2920951-441000,,US10212936B2,,,,,,,,
2920951-441000,,US10226455,,,,,,,,
2920951-441000,,US10265373,,,,,,,,
2920951-441000,,US10272071,,,,,,,,
2920951-441000,,US10273213B2,,,,,,,,
2920951-441000,,US10300173,,,,,,,,
2920951-441000,,US10307405B2,,,,,,,,
2920951-441000,,US10321683B2,,,,,,,,
2920951-441000,,US10349655,,,,,,,,
2920951-441000,,US10350196B2,,,,,,,,
2920951-441000,,US10383854B2,,,,,,,,
2920951-441000,,US10433552,,,,,,,,
2920951-441000,,US10456358B2,,,,,,,,
2920951-441000,,US10517294,,,,,,,,
2920951-441000,,US10543170,,,,,,,,
2920951-441000,,US10548890,,,,,,,,
2920951-441000,,US10561641B2,,,,,,,,
2920951-441000,,US10570129B2,,,,,,,,
2920951-441000,,US10596156B2,,,,,,,,
2920951-441000,,US10646473,,,,,,,,
2920951-441000,,US10653675,,,,,,,,
2920951-441000,,US10662163,,,,,,,,
2920951-441000,,US10695331B2,,,,,,,,
2920951-441000,,US10722448B2,,,,,,,,
2920951-441000,,US10736319,,,,,,,,
2920951-441000,,US10750744,,,,,,,,
2920951-441000,,US10750745,,,,,,,,
2920951-441000,,US10751440,,,,,,,,
2920951-441000,,US10766970,,,,,,,,
2920951-441000,,US10786487B2,,,,,,,,
2920951-441000,,US10799483B2,,,,,,,,
2920951-441000,,US10844154,,,,,,,,
2920951-441000,,US10864195B2 ,,,,,,,,
2920951-441000,,US10894783B2,,,,,,,,
2920951-441000,,US10940163,,,,,,,,
2920951-441000,,US10973759,,,,,,,,
2920951-441000,,US10993988B2,,,,,,,,
2920951-441000,,US11026956B2,,,,,,,,
2920951-441000,,US11045466,,,,,,,,
2920951-441000,,US11103524,,,,,,,,
2920951-441000,,US11110195,,,,,,,,
2920951-441000,,US11130739,,,,,,,,
2920951-441000,,US11147764,,,,,,,,
2920951-441000,,US11179372,,,,,,,,
2920951-441000,,US11253593B2,,,,,,,,
2920951-441000,,US11285101B2,,,,,,,,
2920951-441000,,US11324220,,,,,,,,
2920951-441000,,US11337917B2,,,,,,,,
2920951-441000,,US11357231,,,,,,,,
2920951-441000,,US11382865,,,,,,,,
2920951-441000,,US11478421,,,,,,,,
2920951-441000,,US11484528B2,,,,,,,,
2920951-441000,,US11497732B2,,,,,,,,
2920951-441000,,US11505548B2,,,,,,,,
2920951-441000,,US11530187B2,,,,,,,,
2920951-441000,,US11541017,,,,,,,,
2920951-441000,,US11548859,,,,,,,,
2920951-441000,,US11549868,,,,,,,,
2920951-441000,,US11559491,,,,,,,,
2920951-441000,,US11578083,,,,,,,,
2920951-441000,,US11583545,,,,,,,,
2920951-441000,,US11628452B2,,,,,,,,
2920951-441000,,US11648238,,,,,,,,
2920951-441000,,US11654431B2,,,,,,,,
2920951-441000,,US11679080,,,,,,,,
2920951-441000,,US11723864,,,,,,,,
2920951-441000,,US4001411,,,,,,,,
2920951-441000,,US4051243,,,,,,,,
2920951-441000,,US4684524,,,,,,,,
2920951-441000,,US4704118,,,,,,,,
2920951-441000,,US4831017,,,,,,,,
2920951-441000,,US4853372,,,,,,,,
2920951-441000,,US4867980,,,,,,,,
2920951-441000,,US5036069,,,,,,,,
2920951-441000,,US5070015,,,,,,,,
2920951-441000,,US5211951,,,,,,,,
2920951-441000,,US5290804,,,,,,,,
2920951-441000,,US5411737,,,,,,,,
2920951-441000,,US5824653A,,,,,,,,
2920951-441000,,US5837228,,,,,,,,
2920951-441000,,US5925374,,,,,,,,
2920951-441000,,US6159932A,,,,,,,,
2920951-441000,,US6165987A,,,,,,,,
2920951-441000,,US6190591,,,,,,,,
2920951-441000,,US6207179,,,,,,,,
2920951-441000,,US6340672,,,,,,,,
2920951-441000,,US6383471,,,,,,,,
2920951-441000,,US6399786,,,,,,,,
2920951-441000,,US6489303B2,,,,,,,,
2920951-441000,,US6492340,,,,,,,,
2920951-441000,,US6503881,,,,,,,,
2920951-441000,,US6552002,,,,,,,,
2920951-441000,,US6596714,,,,,,,,
2920951-441000,,US6787342B2,,,,,,,,
2920951-441000,,US6797701,,,,,,,,
2920951-441000,,US6858601,,,,,,,,
2920951-441000,,US6893652B2,,,,,,,,
2920951-441000,,US6974788,,,,,,,,
2920951-441000,,US6991801,,,,,,,,
2920951-441000,,US7001889B2,,,,,,,,
2920951-441000,,US7041863,,,,,,,,
2920951-441000,,US7144878,,,,,,,,
2920951-441000,,US7201923,,,,,,,,
2920951-441000,,US7309759,,,,,,,,
2920951-441000,,US7348027,,,,,,,,
2920951-441000,,US7396819,,,,,,,,
2920951-441000,,US7396820,,,,,,,,
2920951-441000,,US7514464,,,,,,,,
2920951-441000,,US7563773B2,,,,,,,,
2920951-441000,,US7563937,,,,,,,,
2920951-441000,,US7608604B2,,,,,,,,
2920951-441000,,US7622500,,,,,,,,
2920951-441000,,US7674475B2,,,,,,,,
2920951-441000,,US7687471B2,,,,,,,,
2920951-441000,,US7767228,,,,,,,,
2920951-441000,,US7902232,,,,,,,,
2920951-441000,,US7955632B2,,,,,,,,
2920951-441000,,US7960426,,,,,,,,
2920951-441000,,US8044230B2,,,,,,,,
2920951-441000,,US8084486,,,,,,,,
2920951-441000,,US8084643,,,,,,,,
2920951-441000,,US8097614B2,,,,,,,,
2920951-441000,,US8114455B2,,,,,,,,
2920951-441000,,US8241669B2,,,,,,,,
2920951-441000,,US8313752B2,,,,,,,,
2920951-441000,,US8362086,,,,,,,,
2920951-441000,,US8404649B2,,,,,,,,
2920951-441000,,US8410153B2,,,,,,,,
2920951-441000,,US8415310,,,,,,,,
2920951-441000,,US8461176B2,,,,,,,,
2920951-441000,,US8466115B2,,,,,,,,
2920951-441000,,US8501241,,,,,,,,
2920951-441000,,US8512787B2,,,,,,,,
2920951-441000,,US8551962B2,,,,,,,,
2920951-441000,,US8618126B2,,,,,,,,
2920951-441000,,US8623322,,,,,,,,
2920951-441000,,US8642636B2,,,,,,,,
2920951-441000,,US8642799,,,,,,,,
2920951-441000,,US8653128,,,,,,,,
2920951-441000,,US8685462,,,,,,,,
2920951-441000,,US8709440,,,,,,,,
2920951-441000,,US8715711B2,,,,,,,,
2920951-441000,,US8735362,,,,,,,,
2920951-441000,,US8754053,,,,,,,,
2920951-441000,,US8784896,,,,,,,,
2920951-441000,,US8790711,,,,,,,,
2920951-441000,,US8852648B2,,,,,,,,
2920951-441000,,US8865240B2,,,,,,,,
2920951-441000,,US8895587,,,,,,,,
2920951-441000,,US8932642,,,,,,,,
2920951-441000,,US8940271B2,,,,,,,,
2920951-441000,,US8957058B2,,,,,,,,
2920951-441000,,US8962034,,,,,,,,
2920951-441000,,US8980893B2,,,,,,,,
2920951-441000,,US8980896B2,,,,,,,,
2920951-441000,,US9005667,,,,,,,,
2920951-441000,,US9016221,,,,,,,,
2920951-441000,,US9017732,,,,,,,,
2920951-441000,,US9034912B1,,,,,,,,
2920951-441000,,US9044453B2,,,,,,,,
2920951-441000,,US9061013B2,,,,,,,,
2920951-441000,,US9066945B2,,,,,,,,
2920951-441000,,US9073912B2,,,,,,,,
2920951-441000,,US9078444,,,,,,,,
2920951-441000,,US9133172,,,,,,,,
2920951-441000,,US9133172B2,,,,,,,,
2920951-441000,,US9144587,,,,,,,,
2920951-441000,,US9149498,,,,,,,,
2920951-441000,,US9173403,,,,,,,,
2920951-441000,,US9173870B2,,,,,,,,
2920951-441000,,US9180121B2,,,,,,,,
2920951-441000,,US9226928B2,,,,,,,,
2920951-441000,,US9233100B2,,,,,,,,
2920951-441000,,US9237751B2,,,,,,,,
2920951-441000,,US9254268,,,,,,,,
2920951-441000,,US9259417B2,,,,,,,,
2920951-441000,,US9265802,,,,,,,,
2920951-441000,,US9265803,,,,,,,,
2920951-441000,,US9283176B2,,,,,,,,
2920951-441000,,US9301525,,,,,,,,
2920951-441000,,US9314478,,,,,,,,
2920951-441000,,US9345686B2,,,,,,,,
2920951-441000,,US9352059,,,,,,,,
2920951-441000,,US9364433,,,,,,,,
2920951-441000,,US9376434B2,,,,,,,,
2920951-441000,,US9381155B2,,,,,,,,
2920951-441000,,US9393221,,,,,,,,
2920951-441000,,US9433648,,,,,,,,
2920951-441000,,US9433649,,,,,,,,
2920951-441000,,US9457088,,,,,,,,
2920951-441000,,US9480720,,,,,,,,
2920951-441000,,US9532978B2,,,,,,,,
2920951-441000,,US9533961B2,,,,,,,,
2920951-441000,,US9549965,,,,,,,,
2920951-441000,,US9550739B2,,,,,,,,
2920951-441000,,US9593126,,,,,,,,
2920951-441000,,US9597285,,,,,,,,
2920951-441000,,US9597361,,,,,,,,
2920951-441000,,US9598389,,,,,,,,
2920951-441000,,US9609869,,,,,,,,
2920951-441000,,US9622982,,,,,,,,
2920951-441000,,US9629888B2,,,,,,,,
2920951-441000,,US9649279,,,,,,,,
2920951-441000,,US9655884B2,,,,,,,,
2920951-441000,,US9675073,,,,,,,,
2920951-441000,,US9675736,,,,,,,,
2920951-441000,,US9686988B2,,,,,,,,
2920951-441000,,US9714228,,,,,,,,
2920951-441000,,US9724345,,,,,,,,
2920951-441000,,US9744127B2,,,,,,,,
2920951-441000,,US9770440B2,,,,,,,,
2920951-441000,,US9770449,,,,,,,,
2920951-441000,,US9776999B2,,,,,,,,
2920951-441000,,US9821028,,,,,,,,
2920951-441000,,US9877950B2,,,,,,,,
2920951-441000,,US9931320,,,,,,,,
2920951-441000,,US9932337B2,,,,,,,,
2920951-441000,,US9949953,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
