Matter,NonPatent,PublicationNumber,PublicationDate,Patentee,Description,Notes,CiteDate,CitedBy,OriginalURL,TranslationURL
2920951-441000,,US-20210022344-A1,,,,,,,,
2920951-441000,,US-20210030776-A1,,,,,,,,
2920951-441000,,US-20210061775,,,,,,,,
2920951-441000,,US-20210161867-A1,,,,,,,,
2920951-441000,,US-20210177749-A1,,,,,,,,
2920951-441000,,US-20210220393,,,,,,,,
2920951-441000,,US-20210252024,,,,,,,,
2920951-441000,,US-20210283093,,,,,,,,
2920951-441000,,US-20210353537-A1,,,,,,,,
2920951-441000,,US-20210361666,,,,,,,,
2920951-441000,,US-20210379023-A1,,,,,,,,
2920951-441000,,US-2021087164-A1,,,,,,,,
2920951-441000,,US-2021100247-A1,,,,,,,,
2920951-441000,,US-2021177808-A1,,,,,,,,
2920951-441000,,US-2021299104-A1,,,,,,,,
2920951-441000,,US-2021355139-A1,,,,,,,,
2920951-441000,,US-20220296564-A1,,,,,,,,
2920951-441000,,US-20220323421-A1,,,,,,,,
2920951-441000,,US-20220017473-A1,,,,,,,,
2920951-441000,,US-20220048874-A1,,,,,,,,
2920951-441000,,US-20220073479-A1,,,,,,,,
2920951-441000,,US-20220142984-A1,,,,,,,,
2920951-441000,,US-20220143005,,,,,,,,
2920951-441000,,US-20220153833,,,,,,,,
2920951-441000,,US-20220202938,,,,,,,,
2920951-441000,,US-20220226393-A1,,,,,,,,
2920951-441000,,US-20220241368,,,,,,,,
2920951-441000,,US-20220323472-A1,,,,,,,,
2920951-441000,,US-20220387391-A1,,,,,,,,
2920951-441000,,US-20220401357-A1,,,,,,,,
2920951-441000,,US-2022046921-A1,,,,,,,,
2920951-441000,,US-2022125924-A1,,,,,,,,
2920951-441000,,US-2022205878-A1,,,,,,,,
2920951-441000,,US-2022259176-A1,,,,,,,,
2920951-441000,,US-2022338475-A1,,,,,,,,
2920951-441000,,US-20230000082,,,,,,,,
2920951-441000,,US-20230040279,,,,,,,,
2920951-441000,,US-20230095926,,,,,,,,
2920951-441000,,US-20230146944-A1,,,,,,,,
2920951-441000,,US-20230157288,,,,,,,,
2920951-441000,,US-20230000774-A1,,,,,,,,
2920951-441000,,US-20230017661,,,,,,,,
2920951-441000,,US-20230087923,,,,,,,,
2920951-441000,,US-20230190894,,,,,,,,
2920951-441000,,US-20230233530,,,,,,,,
2920951-441000,,US-10266524,,,,,,,,
2920951-441000,,US-10287281,,,,,,,,
2920951-441000,,US-10710991,,,,,,,,
2920951-441000,,US-10869477,,,,,,,,
2920951-441000,,US-8541019,,,,,,,,
2920951-441000,,US-8628794,,,,,,,,
2920951-441000,,US-8962681,,,,,,,,
2920951-441000,,US-9204648,,,,,,,,
2920951-441000,,US-9307766,,,,,,,,
2920951-441000,,US-9339505,,,,,,,,
2920951-441000,,US-9545106,,,,,,,,
2920951-441000,,US-9682949,,,,,,,,
2920951-441000,,US-9776994,,,,,,,,
2920951-441000,,US-9913471,,,,,,,,
2920951-441000,,US-10028949,,,,,,,,
2920951-441000,,US-10064897,,,,,,,,
2920951-441000,,US-10143701,,,,,,,,
2920951-441000,,US-10155730,,,,,,,,
2920951-441000,,US-10160758,,,,,,,,
2920951-441000,,US-10188668,,,,,,,,
2920951-441000,,US-10206400,,,,,,,,
2920951-441000,,US-10212936-B2,,,,,,,,
2920951-441000,,US-10226455,,,,,,,,
2920951-441000,,US-10265373,,,,,,,,
2920951-441000,,US-10272071,,,,,,,,
2920951-441000,,US-10273213-B2,,,,,,,,
2920951-441000,,US-10300173,,,,,,,,
2920951-441000,,US-10307405-B2,,,,,,,,
2920951-441000,,US-10321683-B2,,,,,,,,
2920951-441000,,US-10349655,,,,,,,,
2920951-441000,,US-10350196-B2,,,,,,,,
2920951-441000,,US-10383854-B2,,,,,,,,
2920951-441000,,US-10433552,,,,,,,,
2920951-441000,,US-10456358-B2,,,,,,,,
2920951-441000,,US-10517294,,,,,,,,
2920951-441000,,US-10543170,,,,,,,,
2920951-441000,,US-10548890,,,,,,,,
2920951-441000,,US-10561641-B2,,,,,,,,
2920951-441000,,US-10570129-B2,,,,,,,,
2920951-441000,,US-10596156-B2,,,,,,,,
2920951-441000,,US-10646473,,,,,,,,
2920951-441000,,US-10653675,,,,,,,,
2920951-441000,,US-10662163,,,,,,,,
2920951-441000,,US-10695331-B2,,,,,,,,
2920951-441000,,US-10722448-B2,,,,,,,,
2920951-441000,,US-10736319,,,,,,,,
2920951-441000,,US-10750744,,,,,,,,
2920951-441000,,US-10750745,,,,,,,,
2920951-441000,,US-10751440,,,,,,,,
2920951-441000,,US-10766970,,,,,,,,
2920951-441000,,US-10786487-B2,,,,,,,,
2920951-441000,,US-10799483-B2,,,,,,,,
2920951-441000,,US-10844154,,,,,,,,
2920951-441000,,US-10864195B2 ,,,,,,,,
2920951-441000,,US-10894783-B2,,,,,,,,
2920951-441000,,US-10940163,,,,,,,,
2920951-441000,,US-10973759,,,,,,,,
2920951-441000,,US-10993988-B2,,,,,,,,
2920951-441000,,US-11026956-B2,,,,,,,,
2920951-441000,,US-11045466,,,,,,,,
2920951-441000,,US-11103524,,,,,,,,
2920951-441000,,US-11110195,,,,,,,,
2920951-441000,,US-11130739,,,,,,,,
2920951-441000,,US-11147764,,,,,,,,
2920951-441000,,US-11179372,,,,,,,,
2920951-441000,,US-11253593-B2,,,,,,,,
2920951-441000,,US-11285101-B2,,,,,,,,
2920951-441000,,US-11324220,,,,,,,,
2920951-441000,,US-11337917-B2,,,,,,,,
2920951-441000,,US-11357231,,,,,,,,
2920951-441000,,US-11382865,,,,,,,,
2920951-441000,,US-11478421,,,,,,,,
2920951-441000,,US-11484528-B2,,,,,,,,
2920951-441000,,US-11497732-B2,,,,,,,,
2920951-441000,,US-11505548-B2,,,,,,,,
2920951-441000,,US-11530187-B2,,,,,,,,
2920951-441000,,US-11541017,,,,,,,,
2920951-441000,,US-11548859,,,,,,,,
2920951-441000,,US-11549868,,,,,,,,
2920951-441000,,US-11559491,,,,,,,,
2920951-441000,,US-11578083,,,,,,,,
2920951-441000,,US-11583545,,,,,,,,
2920951-441000,,US-11628452-B2,,,,,,,,
2920951-441000,,US-11648238,,,,,,,,
2920951-441000,,US-11654431-B2,,,,,,,,
2920951-441000,,US-11679080,,,,,,,,
2920951-441000,,US-11723864,,,,,,,,
2920951-441000,,US-4001411,,,,,,,,
2920951-441000,,US-4051243,,,,,,,,
2920951-441000,,US-4684524,,,,,,,,
2920951-441000,,US-4704118,,,,,,,,
2920951-441000,,US-4831017,,,,,,,,
2920951-441000,,US-4853372,,,,,,,,
2920951-441000,,US-4867980,,,,,,,,
2920951-441000,,US-5036069,,,,,,,,
2920951-441000,,US-5070015,,,,,,,,
2920951-441000,,US-5211951,,,,,,,,
2920951-441000,,US-5290804,,,,,,,,
2920951-441000,,US-5411737,,,,,,,,
2920951-441000,,US-5824653A,,,,,,,,
2920951-441000,,US-5837228,,,,,,,,
2920951-441000,,US-5925374,,,,,,,,
2920951-441000,,US-6159932A,,,,,,,,
2920951-441000,,US-6165987A,,,,,,,,
2920951-441000,,US-6190591,,,,,,,,
2920951-441000,,US-6207179,,,,,,,,
2920951-441000,,US-6340672,,,,,,,,
2920951-441000,,US-6383471,,,,,,,,
2920951-441000,,US-6399786,,,,,,,,
2920951-441000,,US-6489303-B2,,,,,,,,
2920951-441000,,US-6492340,,,,,,,,
2920951-441000,,US-6503881,,,,,,,,
2920951-441000,,US-6552002,,,,,,,,
2920951-441000,,US-6596714,,,,,,,,
2920951-441000,,US-6787342-B2,,,,,,,,
2920951-441000,,US-6797701,,,,,,,,
2920951-441000,,US-6858601,,,,,,,,
2920951-441000,,US-6893652-B2,,,,,,,,
2920951-441000,,US-6974788,,,,,,,,
2920951-441000,,US-6991801,,,,,,,,
2920951-441000,,US-7001889-B2,,,,,,,,
2920951-441000,,US-7041863,,,,,,,,
2920951-441000,,US-7144878,,,,,,,,
2920951-441000,,US-7201923,,,,,,,,
2920951-441000,,US-7309759,,,,,,,,
2920951-441000,,US-7348027,,,,,,,,
2920951-441000,,US-7396819,,,,,,,,
2920951-441000,,US-7396820,,,,,,,,
2920951-441000,,US-7514464,,,,,,,,
2920951-441000,,US-7563773-B2,,,,,,,,
2920951-441000,,US-7563937,,,,,,,,
2920951-441000,,US-7608604-B2,,,,,,,,
2920951-441000,,US-7622500,,,,,,,,
2920951-441000,,US-7674475-B2,,,,,,,,
2920951-441000,,US-7687471-B2,,,,,,,,
2920951-441000,,US-7767228,,,,,,,,
2920951-441000,,US-7902232,,,,,,,,
2920951-441000,,US-7955632-B2,,,,,,,,
2920951-441000,,US-7960426,,,,,,,,
2920951-441000,,US-8044230-B2,,,,,,,,
2920951-441000,,US-8084486,,,,,,,,
2920951-441000,,US-8084643,,,,,,,,
2920951-441000,,US-8097614-B2,,,,,,,,
2920951-441000,,US-8114455-B2,,,,,,,,
2920951-441000,,US-8241669-B2,,,,,,,,
2920951-441000,,US-8313752-B2,,,,,,,,
2920951-441000,,US-8362086,,,,,,,,
2920951-441000,,US-8404649-B2,,,,,,,,
2920951-441000,,US-8410153-B2,,,,,,,,
2920951-441000,,US-8415310,,,,,,,,
2920951-441000,,US-8461176-B2,,,,,,,,
2920951-441000,,US-8466115-B2,,,,,,,,
2920951-441000,,US-8501241,,,,,,,,
2920951-441000,,US-8512787-B2,,,,,,,,
2920951-441000,,US-8551962-B2,,,,,,,,
2920951-441000,,US-8618126-B2,,,,,,,,
2920951-441000,,US-8623322,,,,,,,,
2920951-441000,,US-8642636-B2,,,,,,,,
2920951-441000,,US-8642799,,,,,,,,
2920951-441000,,US-8653128,,,,,,,,
2920951-441000,,US-8685462,,,,,,,,
2920951-441000,,US-8709440,,,,,,,,
2920951-441000,,US-8715711-B2,,,,,,,,
2920951-441000,,US-8735362,,,,,,,,
2920951-441000,,US-8754053,,,,,,,,
2920951-441000,,US-8784896,,,,,,,,
2920951-441000,,US-8790711,,,,,,,,
2920951-441000,,US-8852648-B2,,,,,,,,
2920951-441000,,US-8865240-B2,,,,,,,,
2920951-441000,,US-8895587,,,,,,,,
2920951-441000,,US-8932642,,,,,,,,
2920951-441000,,US-8940271-B2,,,,,,,,
2920951-441000,,US-8957058-B2,,,,,,,,
2920951-441000,,US-8962034,,,,,,,,
2920951-441000,,US-8980893-B2,,,,,,,,
2920951-441000,,US-8980896-B2,,,,,,,,
2920951-441000,,US-9005667,,,,,,,,
2920951-441000,,US-9016221,,,,,,,,
2920951-441000,,US-9017732,,,,,,,,
2920951-441000,,US-9034912-B1,,,,,,,,
2920951-441000,,US-9044453-B2,,,,,,,,
2920951-441000,,US-9061013-B2,,,,,,,,
2920951-441000,,US-9066945-B2,,,,,,,,
2920951-441000,,US-9073912-B2,,,,,,,,
2920951-441000,,US-9078444,,,,,,,,
2920951-441000,,US-9133172,,,,,,,,
2920951-441000,,US-9133172-B2,,,,,,,,
2920951-441000,,US-9144587,,,,,,,,
2920951-441000,,US-9149498,,,,,,,,
2920951-441000,,US-9173403,,,,,,,,
2920951-441000,,US-9173870-B2,,,,,,,,
2920951-441000,,US-9180121-B2,,,,,,,,
2920951-441000,,US-9226928-B2,,,,,,,,
2920951-441000,,US-9233100-B2,,,,,,,,
2920951-441000,,US-9237751-B2,,,,,,,,
2920951-441000,,US-9254268,,,,,,,,
2920951-441000,,US-9259417-B2,,,,,,,,
2920951-441000,,US-9265802,,,,,,,,
2920951-441000,,US-9265803,,,,,,,,
2920951-441000,,US-9283176-B2,,,,,,,,
2920951-441000,,US-9301525,,,,,,,,
2920951-441000,,US-9314478,,,,,,,,
2920951-441000,,US-9345686-B2,,,,,,,,
2920951-441000,,US-9352059,,,,,,,,
2920951-441000,,US-9364433,,,,,,,,
2920951-441000,,US-9376434-B2,,,,,,,,
2920951-441000,,US-9381155-B2,,,,,,,,
2920951-441000,,US-9393221,,,,,,,,
2920951-441000,,US-9433648,,,,,,,,
2920951-441000,,US-9433649,,,,,,,,
2920951-441000,,US-9457088,,,,,,,,
2920951-441000,,US-9480720,,,,,,,,
2920951-441000,,US-9532978-B2,,,,,,,,
2920951-441000,,US-9533961-B2,,,,,,,,
2920951-441000,,US-9549965,,,,,,,,
2920951-441000,,US-9550739-B2,,,,,,,,
2920951-441000,,US-9593126,,,,,,,,
2920951-441000,,US-9597285,,,,,,,,
2920951-441000,,US-9597361,,,,,,,,
2920951-441000,,US-9598389,,,,,,,,
2920951-441000,,US-9609869,,,,,,,,
